"sn","hour_utc","pm25","pm25_cal","pm10","pm1","o3","o3_cal","co","no2","rh","temp","n_obs","pm_status","hour_complete"
"MOD-00556","2026-08-01 07:00:00",4.71366666666667,4.23380476666667,15.8873333333333,3.39016666666667,42.4561666666667,0.031899128,404.281333333333,7.36066666666666,20.4966666666667,36.605,60,"ok",TRUE
"MOD-00556","2026-08-01 08:00:00",4.45183333333333,3.86461683333333,13.9998333333333,3.2955,40.5496666666667,0.030251912,400.0635,7.70883333333333,20.975,36.2683333333333,60,"ok",TRUE
"MOD-00556","2026-08-01 09:00:00",4.70916666666667,4.32966118333333,13.381,3.4325,35.3501666666667,0.025759544,465.780833333333,9.06083333333333,23.93,34.215,60,"ok",TRUE
"MOD-00556","2026-08-01 10:00:00",5.37883333333333,4.72321223333334,17.2735,4.1865,33.6746666666667,0.024311912,515.525666666667,8.78266666666667,27.6683333333333,32.4166666666667,60,"ok",TRUE
"MOD-00556","2026-08-01 11:00:00",6.7355,5.920967,21.0625,5.36883333333334,20.5183333333333,0.01294484,581.710833333334,8.7235,31.725,30.99,60,"ok",TRUE
"MOD-00556","2026-08-01 12:00:00",5.53766666666667,4.99710776666667,19.4373333333333,4.245,27.006,0.018550184,551.068833333333,6.372,34.4366666666667,30.83,60,"ok",TRUE
"MOD-00556","2026-08-01 13:00:00",5.61383333333333,4.96960316666667,22.3281666666667,4.345,26.8258333333333,0.01839452,562.409333333333,5.87233333333333,36.05,30.8333333333333,60,"ok",TRUE
"MOD-00556","2026-08-01 14:00:00",5.23266666666667,4.29364335,16.7465,4.18,37.3956666666667,0.027526856,463.904166666667,6.74783333333333,31.3316666666667,34.1016666666667,60,"ok",TRUE
"MOD-00556","2026-08-01 15:00:00",4.93233333333333,3.74746743333333,12.2523333333333,3.99383333333333,41.185,0.03080084,340.972833333333,6.44883333333333,25.9716666666667,38.2333333333333,60,"ok",TRUE
"MOD-00556","2026-08-01 16:00:00",4.40483333333333,2.81128391666667,8.33,3.769,47.0026666666666,0.035827304,254.5865,6.18483333333333,21.85,41.735,60,"ok",TRUE
"MOD-00556","2026-08-01 17:00:00",3.84450980392157,2.01550893137255,8.20549019607843,3.27372549019608,53.1755,0.041160632,81.9493333333333,5.94116666666666,16.305,47.1433333333333,60,"ok",TRUE
"MOD-00556","2026-08-01 18:00:00",NA,NA,NA,NA,58.1338333333333,0.045444632,97.9568333333333,7.052,14.28,48.7616666666667,60,"thermal_cutoff",TRUE
"MOD-00556","2026-08-01 19:00:00",NA,NA,NA,NA,61.8396666666667,0.048646472,101.650666666667,7.91816666666666,12.19,50.41,60,"thermal_cutoff",TRUE
"MOD-00556","2026-08-01 20:00:00",NA,NA,NA,NA,60.5653333333333,0.047545448,228.731833333333,13.1621666666667,11.8566666666667,49.825,60,"thermal_cutoff",TRUE
"MOD-00556","2026-08-01 21:00:00",NA,NA,NA,NA,60.2485,0.047271704,279.152833333333,13.0303333333333,11.2066666666667,50.69,60,"thermal_cutoff",TRUE
"MOD-00556","2026-08-01 22:00:00",NA,NA,NA,NA,57.9843333333333,0.045315464,295.325666666667,13.9095,10.7933333333333,50.99,60,"thermal_cutoff",TRUE
"MOD-00556","2026-08-01 23:00:00",NA,NA,NA,NA,53.6205,0.041545112,427.519166666667,15.9238333333333,11.645,49.21,60,"thermal_cutoff",TRUE
"MOD-00556","2026-08-02 00:00:00",4.06225806451613,2.32012432795699,11.7022580645161,3.38032258064516,51.9295,0.040084088,447.146833333333,16.2365,12.005,47.0216666666667,60,"ok",TRUE
"MOD-00556","2026-08-02 01:00:00",4.30666666666667,2.78288695,9.8695,3.5525,48.7005,0.037294232,492.534166666667,14.563,13.21,44.3166666666667,60,"ok",TRUE
"MOD-00556","2026-08-02 02:00:00",4.25338983050847,3.00542533898305,11.024406779661,3.45627118644068,46.5647457627118,0.035448940338983,561.793559322034,20.0998305084746,16.028813559322,40.7966101694915,59,"ok",TRUE
"MOD-00556","2026-08-02 03:00:00",4.8485,3.55973736666666,10.0945,4.03433333333333,42.544,0.031975016,567.695,16.2335,16.9816666666667,39.0916666666667,60,"ok",TRUE
"MOD-00556","2026-08-02 04:00:00",5.6475,4.4997247,25.6578333333333,4.49833333333333,37.9306666666667,0.027989096,644.8795,15.2085,19.83,37.0816666666667,60,"ok",TRUE
"MOD-00556","2026-08-02 05:00:00",5.609,4.65622028333333,16.6018333333333,4.4435,37.8675,0.02793452,622.509666666667,12.0411666666667,21.78,36.06,60,"ok",TRUE
"MOD-00556","2026-08-02 06:00:00",5.27133333333333,4.27468311666666,17.1358333333333,4.24116666666667,37.964,0.028017896,651.537166666667,11.8411666666667,27.6566666666667,34.6966666666667,60,"ok",TRUE
"MOD-00556","2026-08-02 07:00:00",5.00416666666667,3.96719743333334,14.7701666666667,4.12916666666666,36.3085,0.026587544,614.586166666667,8.42016666666667,29.9616666666667,33.4983333333333,60,"ok",TRUE
"MOD-00556","2026-08-02 08:00:00",4.5645,3.88694635,16.9636666666667,3.51083333333333,37.4773333333333,0.027597416,552.939833333333,6.91333333333333,31.3683333333333,33.2383333333334,60,"ok",TRUE
"MOD-00556","2026-08-02 09:00:00",11.2575,16.4108535333333,56.6375,4.0915,39.9086666666667,0.029698088,430.404666666667,5.97183333333333,28.3833333333333,33.8133333333333,60,"ok",TRUE
"MOD-00556","2026-08-02 10:00:00",8.79083333333333,11.6532109166667,35.4556666666667,4.06533333333333,40.4851666666667,0.030196184,431.4705,6.5635,30.8383333333333,32.8883333333333,60,"ok",TRUE
"MOD-00556","2026-08-02 11:00:00",5.72483333333333,6.8178876,20.7731666666667,3.13633333333333,40.7615,0.030434936,440.481833333333,6.34166666666667,32.2983333333333,32.0866666666667,60,"ok",TRUE
"MOD-00556","2026-08-02 12:00:00",5.475,5.38021898333333,19.8858333333333,3.8005,40.0781666666667,0.029844536,437.779333333333,6.21016666666667,33.5516666666667,32.285,60,"ok",TRUE
"MOD-00556","2026-08-02 13:00:00",4.67716666666667,4.7760044,17.4661666666667,3.0295,38.3768333333333,0.028374584,451.723833333333,5.92583333333333,33.2816666666667,32.955,60,"ok",TRUE
"MOD-00556","2026-08-02 14:00:00",4.7365,4.01800626666666,12.1761666666667,3.56283333333333,41.7018333333333,0.031247384,367.5815,5.9095,29.135,36.615,60,"ok",TRUE
"MOD-00556","2026-08-02 15:00:00",4.80966666666667,3.58293406666667,11.7443333333333,3.92983333333333,44.1018333333333,0.033320984,361.660833333333,6.205,28.3866666666667,38.02,60,"ok",TRUE
"MOD-00556","2026-08-02 16:00:00",5.363,4.11841086666667,14.001,4.3175,45.4243333333333,0.034463624,362.5735,6.8955,28.42,38.7316666666667,60,"ok",TRUE
"MOD-00556","2026-08-02 17:00:00",5.62316666666667,3.9977328,12.9938333333333,4.5815,48.9825,0.03753788,249.425666666667,6.01633333333333,22.2266666666667,44.0433333333333,60,"ok",TRUE
